"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"Casp3","Casp3","Casp3","CASP3","caspase 3","8","org.Mm.eg.db","Casp3","O08668;P70677;Q8CHV5;Q9QWI4"
"Pak7","Pak7","Pak5","PAK5","p21 (RAC1) activated kinase 5","2","org.Mm.eg.db","Pak7","Q3TQJ7;Q6RWS7;Q8BVB0;Q8C015"
"Crk","Crk","Crk","CRK","v-crk avian sarcoma virus CT10 oncogene homolog","11","org.Mm.eg.db","Crk","Q8JZR2;Q3TQV3;Q5ND51;Q64010;Q91VM1;Q920I1;Q3TTI0;Q5ND50"
"BC053460","BC053460","Ano8","ANO8","anoctamin 8",NA,"org.Mm.eg.db","BC053460","A0A1L1SR96;Q05CB5;Q69ZE4;Q6PB70"
"C1d","C1d","C1d","C1D","C1D nuclear receptor co-repressor","11","org.Mm.eg.db","C1d","A0A0A0MQK7;O35473;Q5SWJ6;Q61368"
"Helb","Helb","Helb","HELB","helicase (DNA) B","10","org.Mm.eg.db","Helb","G5E835;Q6KAT5;Q6NVF4;Q8C930;Q9EQT8"
"Tff1","Tff1","Tff1","TFF1","trefoil factor 1","17","org.Mm.eg.db","Tff1","Q08423;Q149Y8;Q3TVE6"
"Styx","Styx","Styx","STYX","serine/threonine/tyrosine interaction protein","14","org.Mm.eg.db","Styx","Q3TMA3;Q3U4N1;Q60969;Q60970;Q9DCF8;A0A2K6EDL3"
"Slc16a9","Slc16a9","Slc16a9","SLC16A9","solute carrier family 16 (monocarboxylic acid transporters), member 9","10","org.Mm.eg.db","Slc16a9","Q0P652;Q7TM99"
"Chc1l","Chc1l","Rcbtb2","RCBTB2","regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2","14","org.Mm.eg.db","Chc1l","E9Q3B1;G1EE51;Q3TUA3;Q8BMG2;Q99LJ7"
"Fhit","Fhit","Fhit","FHIT","fragile histidine triad gene","14","org.Mm.eg.db","Fhit","E9PZ91;E9PVU9;O89106;Q6URW5;Q91VL1"
"Rpl31","Rpl31","Rpl31","RPL31","ribosomal protein L31","1","org.Mm.eg.db","Rpl31","P62900;Q5M9K9;Q9CY93"
"Stat5a","Stat5a","Stat5a","STAT5A","signal transducer and activator of transcription 5A","11","org.Mm.eg.db","Stat5a","B2C3G8;P42230;Q9JIA0"
"Tacc3","Tacc3","Tacc3","TACC3","transforming, acidic coiled-coil containing protein 3","5","org.Mm.eg.db","Tacc3","Q6NV52;Q9JIQ5;Q99LH8"
"Bcl6b","Bcl6b","Bcl6b","BCL6B","B cell CLL/lymphoma 6, member B","11","org.Mm.eg.db","Bcl6b","O88282;Q5BKP3;Q8CCJ6"
"4833435D08Rik","4833435D08Rik","Alg13","ALG13","asparagine-linked glycosylation 13","X","org.Mm.eg.db","4833435D08Rik","Q0VD95;Q8C132"
"Sdc4","Sdc4","Sdc4","SDC4","syndecan 4","2","org.Mm.eg.db","Sdc4","O35988;Q3U5S6;Q3UKZ1"
"Slc25a22","Slc25a22","Slc25a22","SLC25A22","solute carrier family 25 (mitochondrial carrier, glutamate), member 22","7","org.Mm.eg.db","Slc25a22","Q3TRY1;Q9D6M3"
"1200007D18Rik","1200007D18Rik","Ergic1","ERGIC1","endoplasmic reticulum-golgi intermediate compartment 1","17","org.Mm.eg.db","1200007D18Rik","Q4FK22;Q69ZP5;Q9DC16;A0A494BAK4;A0A494BAW5;F6SLP4"
"Ms4a4d","Ms4a4d","Ms4a4d","","membrane-spanning 4-domains, subfamily A, member 4D","19","org.Mm.eg.db","Ms4a4d","Q99N05"
"BC014685","BC014685","Tmem150a","TMEM150A","transmembrane protein 150A",NA,"org.Mm.eg.db","BC014685","Q91WN2"
"2310028N02Rik","2310028N02Rik","Pacc1","PACC1","proton activated chloride channel 1","1","org.Mm.eg.db","2310028N02Rik","Q9CZV9;Q9D771"
"Mylip","Mylip","Mylip","MYLIP","myosin regulatory light chain interacting protein","13","org.Mm.eg.db","Mylip","Q3TAE7;Q3TX01;Q8BLY9;Q8BM54;Q91Z47"
"4931427F14Rik","4931427F14Rik","Spag17","SPAG17","sperm associated antigen 17","3","org.Mm.eg.db","4931427F14Rik","G3UYF7;Q3UWG8;Q5S003;Q6Q758;Q8CDR5;Q9CUE5"
"4932417D18Rik","4932417D18Rik","Zfp608","ZNF608","zinc finger protein 608","18","org.Mm.eg.db","4932417D18Rik","B9EKR3;Q56A10;Q6ZPU8;Q8BIG5;Q8BJ06"
"1700011F14Rik","1700011F14Rik","Ccdc172","CCDC172","coiled-coil domain containing 172","19","org.Mm.eg.db","1700011F14Rik","Q810N9;Q9DAG3"
"Il13ra1","Il13ra1","Il13ra1","IL13RA1","interleukin 13 receptor, alpha 1","X","org.Mm.eg.db","Il13ra1","O09030;Q7TT27;Q8C1Z3"
"Flt4","Flt4","Flt4","FLT4","FMS-like tyrosine kinase 4","11","org.Mm.eg.db","Flt4","P35917;Q5SU94"
"2310076K21Rik","2310076K21Rik","Ypel5","YPEL5","yippee like 5","17","org.Mm.eg.db","2310076K21Rik","P62700;Q3TDV0;Q3TMG7;Q543T4;Q65Z92"
"Cyp2d22","Cyp2d22","Cyp2d22","","cytochrome P450, family 2, subfamily d, polypeptide 22","15","org.Mm.eg.db","Cyp2d22","Q91W87;Q9JKY7"
"BC031407","BC031407","Gatad2a","GATAD2A","GATA zinc finger domain containing 2A",NA,"org.Mm.eg.db","BC031407","A0A1I7Q4G8;Q8BTQ2;Q8CHY6;Q8VEC9;E9QMN5"
"Igf2bp3","Igf2bp3","Igf2bp3","IGF2BP3","insulin-like growth factor 2 mRNA binding protein 3","6","org.Mm.eg.db","Igf2bp3","Q3UHZ6;Q8C2J9;Q9CPN8"
"Wtap","Wtap","Wtap","WTAP","WT1 associating protein","17","org.Mm.eg.db","Wtap","F7CCI4;E0CYH0;Q3U120;Q566J5;Q9ER69"
"5730469M10Rik","5730469M10Rik","Prxl2a","PRXL2A","peroxiredoxin like 2A","14","org.Mm.eg.db","5730469M10Rik","D3Z252;Q3U125;Q9CYH2"
"2010300C02Rik","2010300C02Rik","Cracdl","CRACDL","capping protein inhibiting regulator of actin like","1","org.Mm.eg.db","2010300C02Rik","E9Q3M9"
"E030006K04Rik","E030006K04Rik","Arap3","ARAP3","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3","18","org.Mm.eg.db","E030006K04Rik","A0A2X0TVQ3;E9QMK7;Q5DTN4;Q6NVF1;Q8R5G6;Q8R5G7"
"BC025446","BC025446","Ly6g2","LY6S","lymphocyte antigen 6 family member G2",NA,"org.Mm.eg.db","BC025446","A0A087WQT1;Q8R155"
"1110008L20Rik","1110008L20Rik","Micu2","MICU2","mitochondrial calcium uptake 2","14","org.Mm.eg.db","1110008L20Rik","Q3TJU4;Q8CD10;Q8K0K2;Q9CUR8"
"Gmfb","Gmfb","Gmfb","GMFB","glia maturation factor, beta","14","org.Mm.eg.db","Gmfb","A0A2I3BPS1;Q3UQX5;Q9CQI3;Q9ERL8;Q80X87"
"Nxn","Nxn","Nxn","NXN","nucleoredoxin","11","org.Mm.eg.db","Nxn","P97346;Q5H8T6;Q5H8U0;Q99KF3"
"Col12a1","Col12a1","Col12a1","COL12A1","collagen, type XII, alpha 1","9","org.Mm.eg.db","Col12a1","E9PX70;P70322;Q60847"
"Rcn2","Rcn2","Rcn2","RCN2","reticulocalbin 2","9","org.Mm.eg.db","Rcn2","Q8BP39;A2RT07;O70341;Q3TE95;Q8BP92"
"Igsf4a","Igsf4a","Cadm1","CADM1","cell adhesion molecule 1","9","org.Mm.eg.db","Igsf4a","Q1WIL9;E9PYN1;Q6F3J3;Q7TNL1;Q80VG4;Q8K3T6;Q8R4L1;Q8R5M8;Q9QYL5;Q9QYL6;Q9Z2H8;Q9QYL4;Q9QYL3"
"Myo1f","Myo1f","Myo1f","MYO1F","myosin IF","17","org.Mm.eg.db","Myo1f","Q811E7;Q8CG29"
"P2ry1","P2ry1","P2ry1","P2RY1","purinergic receptor P2Y, G-protein coupled 1","3","org.Mm.eg.db","P2ry1","P49650;Q544J5;Q8BMJ5"
"3110041P15Rik","3110041P15Rik","Dchs1","DCHS1","dachsous cadherin related 1","7","org.Mm.eg.db","3110041P15Rik","E9PVD3"
"Tslpr","Tslpr","Crlf2","CRLF2","cytokine receptor-like factor 2","5","org.Mm.eg.db","Tslpr","Q8CII9;Q9CRJ6;Q9JIE7;Q9JIQ7;Q9JJH8;Q9JMD5;A0A0G2JGP1;Q05DC7;A0A0R4J0F5;Q3TCZ1"
"Dlat","Dlat","Dlat","DLAT","dihydrolipoamide S-acetyltransferase","9","org.Mm.eg.db","Dlat","Q8BMF4;Q8K2G8;Q8R339;Q91ZB1"
"Atp6v1a1","Atp6v1a1","Atp6v1a","ATP6V1A","ATPase, H+ transporting, lysosomal V1 subunit A","16","org.Mm.eg.db","Atp6v1a1","P50516;Q3TKS0;Q3U5W3;Q3U777;Q3UDZ9;Q3US31;Q8CHX2"
"Ga17","Ga17","Eif3m","EIF3M","eukaryotic translation initiation factor 3, subunit M","2","org.Mm.eg.db","Ga17","Q3TI04;Q5EBI5;Q99JX4"
"D2Ertd145e","D2Ertd145e","Rif1","RIF1","replication timing regulatory factor 1","2","org.Mm.eg.db","D2Ertd145e","J7I1C3;Q6PR54;Q6T8D9;Q7TPD8;Q8BTU2;Q8C408;Q9CS77"
"Sertad2","Sertad2","Sertad2","SERTAD2","SERTA domain containing 2","11","org.Mm.eg.db","Sertad2","Q3UGZ1;Q8C609;Q91WL3;Q925E5;Q9JJG5"
"Aldh1a7","Aldh1a7","Aldh1a2;Aldh1a7","ALDH1A2","aldehyde dehydrogenase family 1, subfamily A2; aldehyde dehydrogenase family 1, subfamily A7","9;19","org.Mm.eg.db","Aldh1a7","Q62148;Q6DI79;B2RTL5;O35945;Q80ZX7"
"Rgs3","Rgs3","Rgs3","RGS3","regulator of G-protein signaling 3","4","org.Mm.eg.db","Rgs3","Q9DC04;Z4YJQ4;Q5SRB1;Q5SRB4;Q5SRB8;Q8CEE3;Q8VI25;Q925G9;Q9JL22;Q9JL23;Q9QXA2;Q3TAS0;Q542M0;I7HPB2"
"Itih1","Itih1","Itih1","ITIH1","inter-alpha trypsin inhibitor, heavy chain 1","14","org.Mm.eg.db","Itih1","F8WJ05;Q8K159;Q3UEI9;Q61702;Q91WU7"
"Mcm5","Mcm5","Mcm5","MCM5","minichromosome maintenance complex component 5","8","org.Mm.eg.db","Mcm5","P49718;Q52KC3;Q8BQ03"
"Matr3","Matr3","Matr3","MATR3","matrin 3","18","org.Mm.eg.db","Matr3","Q3TTX0;Q4FJT0;Q5BL18;Q8K310;Q3TZN1;A0A494BAD4;A0A494BAZ7"
"Foxo1","Foxo1","Foxo1","FOXO1","forkhead box O1","3","org.Mm.eg.db","Foxo1","Q9JJW4;Q9R1E0;Q9WVH5"
"Usp40","Usp40","Usp40","USP40","ubiquitin specific peptidase 40","1","org.Mm.eg.db","Usp40","Q8BWR4;Q08EB7;Q148V0;Q3TLV1;Q3TMN0;Q3V1R4;Q5EBN6"
"1810030N24Rik","1810030N24Rik","Smim8","SMIM8","small integral membrane protein 8","4","org.Mm.eg.db","1810030N24Rik","Q9CQQ0;Q9CY70"
"Terf2","Terf2","Terf2","TERF2","telomeric repeat binding factor 2","8","org.Mm.eg.db","Terf2","O35144;E9QM06;D3YVG5;Q80VE2;Q8BQJ9;D3YZ08"
"Sgpp1","Sgpp1","Sgpp1","SGPP1","sphingosine-1-phosphate phosphatase 1","12","org.Mm.eg.db","Sgpp1","Q3UDY2;Q9JI99"
"Idh1","Idh1","Idh1","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","1","org.Mm.eg.db","Idh1","O88844;Q3TJ51;Q3UAV7;Q5HZJ8"
"Bsnd","Bsnd","Bsnd","BSND","barttin CLCNK type accessory beta subunit","4","org.Mm.eg.db","Bsnd","B1AZI5;Q8C740;Q8CHY0;Q8VIM4"
"Slc35a3","Slc35a3","Slc35a3","SLC35A3","solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3","3","org.Mm.eg.db","Slc35a3","Q3TTK5;Q8BRW7;Q8R1T4"
"Arhgap18","Arhgap18","Arhgap18","ARHGAP18","Rho GTPase activating protein 18","10","org.Mm.eg.db","Arhgap18","A0A2X0SYS9;Q8BP03;Q8K0Q5;Q8R196"
"Nrn1","Nrn1","Nrn1","NRN1","neuritin 1","13","org.Mm.eg.db","Nrn1","A0A286YD56;D3Z4E2;A0A286YCW7;Q7TSR9;Q8CFV4"
"Glrx1","Glrx1","Glrx","GLRX","glutaredoxin","13","org.Mm.eg.db","Glrx1","Q3U6L3;Q9D6F8;Q9QUH0"
"Cacna2d1","Cacna2d1","Cacna2d1","CACNA2D1","calcium channel, voltage-dependent, alpha2/delta subunit 1","5","org.Mm.eg.db","Cacna2d1","O08532;O08533;O08534;O08535;O08536;A0A411ACY8;Q14BH8"
"Mrg1","Mrg1","Meis2;Cited2","MEIS2","Meis homeobox 2; Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2","2","org.Mm.eg.db","Mrg1","Q3TY73;Q3UJ35;O35676;O35677;P97367;P97403;P97404;B1AWK4;Q3TYM2;A0A0A7EPH8;Q6GU28;O35740;O35741;O35742;O35743;O55198;Q6PGA9"
"A630026F04","A630026F04","Xkrx","XKRX","X-linked Kx blood group related, X-linked","X","org.Mm.eg.db","A630026F04","A2AEK6;Q5GH68"
"Nbea","Nbea","Nbea","NBEA","neurobeachin","3","org.Mm.eg.db","Nbea","Q8C931;Q9EPM9;Q9EPN0;Q9EPN1;Q9WVM9"
"D630032B01Rik","D630032B01Rik","Aldh5a1","ALDH5A1","aldhehyde dehydrogenase family 5, subfamily A1","13","org.Mm.eg.db","D630032B01Rik","B2RS41;Q5SZW1;Q8BWF0"
"Btbd7","Btbd7","Btbd7","BTBD7","BTB domain containing 7","12","org.Mm.eg.db","Btbd7","Q80TC3;Q8BZY9;Q8CFE5"
"Ndufa5","Ndufa5","Ndufa5","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5","6","org.Mm.eg.db","Ndufa5","D3YTQ8;Q9CPP6;Q9CX78;Q9CY90;Q9D2P2;Q9D703;Q9D739"
"4933426L22Rik","4933426L22Rik","Cep170","CEP170","centrosomal protein 170","1","org.Mm.eg.db","4933426L22Rik","H7BX26;Q6A065;Q7TQD9;Q8BJW2;Q9D3Z0"
"AA408556","AA408556","","",NA,NA,"org.Mm.eg.db","AA408556",NA
"4933431N12Rik","4933431N12Rik","Tbc1d9","TBC1D9","TBC1 domain family, member 9","8","org.Mm.eg.db","4933431N12Rik","Q3UYK3;Q69ZW8;Q8BIJ5;Q8BVP3;Q9CUB3;Q6PGG9"
"Cbx4","Cbx4","Cbx4","CBX4","chromobox 4","11","org.Mm.eg.db","Cbx4","O55187;Q149G5;Q149G6"
"Tm4sf11","Tm4sf11","Pllp","PLLP","plasma membrane proteolipid","8","org.Mm.eg.db","Tm4sf11","Q544Q5;Q9DCU2"
"Emp3","Emp3","Emp3","EMP3","epithelial membrane protein 3","7","org.Mm.eg.db","Emp3","O35912;O88333;Q3UIF8"
"Btbd9","Btbd9","Btbd9","BTBD9","BTB domain containing 9","17","org.Mm.eg.db","Btbd9","Q3U4Z0;Q8C726;Q8C2V5;A0A494B989"
"3526402H21Rik","3526402H21Rik","Creb1","CREB1","cAMP responsive element binding protein 1","1","org.Mm.eg.db","3526402H21Rik","Q62347;Q547S9;Q61442;Q01147;Q543W0;P70300"
"Zbtb9","Zbtb9","Zbtb9","ZBTB9","zinc finger and BTB domain containing 9","17","org.Mm.eg.db","Zbtb9","Q3U3B2;Q8CDC7;Q9CYQ0"
"Allc","Allc","Allc","ALLC","allantoicase","12","org.Mm.eg.db","Allc","E9QL21;Q32MW4;Q9JHX6"
"Copb1","Copb1","Copb1","COPB1","coatomer protein complex, subunit beta 1","7","org.Mm.eg.db","Copb1","Q3T9Y4;Q3TT72;Q3U8G9;Q3UE02;Q9JIF7"
"Gale","Gale","Gale","GALE","galactose-4-epimerase, UDP","4","org.Mm.eg.db","Gale","Q8R059"
"C730021L23","C730021L23","Gprin3","GPRIN3","GPRIN family member 3","6","org.Mm.eg.db","C730021L23","B2RQZ6;Q69Z30;Q8BWS5"
"9530011P19Rik","9530011P19Rik","Nlrc4","NLRC4","NLR family, CARD domain containing 4","17","org.Mm.eg.db","9530011P19Rik","A0A3Q4EGE7;Q3TAU8;Q3UP24"
"Hoxb2","Hoxb2","Hoxb2","HOXB2","homeobox B2","11","org.Mm.eg.db","Hoxb2","A2A739;B9EHW9;P0C1T1"
"Adcy1","Adcy1","Adcy1","ADCY1","adenylate cyclase 1","11","org.Mm.eg.db","Adcy1","O88444;Q5SS89"
"Rab27b","Rab27b","Rab27b","RAB27B","RAB27B, member RAS oncogene family","18","org.Mm.eg.db","Rab27b","Q4VA90;Q549X4;Q8CIX0;Q99P58;Q05D38"
"Lgals3bp","Lgals3bp","Lgals3bp","LGALS3BP","lectin, galactoside-binding, soluble, 3 binding protein","11","org.Mm.eg.db","Lgals3bp","O35649;Q07797;Q3U631;Q3U8K4;Q3UDL5"
"D11Ertd759e","D11Ertd759e","Rnf213","RNF213","ring finger protein 213","11","org.Mm.eg.db","D11Ertd759e","A0A8I4P9C4;E9Q555;F7A6H4;Q8BVK6"
"3222401M22Rik","3222401M22Rik","Rftn2","RFTN2","raftlin family member 2","1","org.Mm.eg.db","3222401M22Rik","Q8CHX7;Q8R306;Q9CXJ5"
"Zfp71-rs1","Zfp71-rs1","Zfp85","","zinc finger protein 85","13","org.Mm.eg.db","Zfp71-rs1","B8JJY3;Q7TMC9"
"2010107E04Rik","2010107E04Rik","Atp5mj","ATP5MJ","ATP synthase membrane subunit j","12","org.Mm.eg.db","2010107E04Rik","A0A1Y7VLP0;P56379"
"Zbtb5","Zbtb5","Zbtb5","ZBTB5","zinc finger and BTB domain containing 5","4","org.Mm.eg.db","Zbtb5","Q3TVR7;Q6GV09;Q7TQG0;Q8BIB5"
"D3Jfr1","D3Jfr1","Csde1","CSDE1","cold shock domain containing E1, RNA binding","3","org.Mm.eg.db","D3Jfr1","Q3TXH7;Q3U4S7;Q8JZN2;A0A0G2JF72;Q8R3R1;Q3U1S6;Q91W50"
"Zc3hdc3","Zc3hdc3","Zc3h3","ZC3H3","zinc finger CCCH type containing 3","15","org.Mm.eg.db","Zc3hdc3","Q3UUL4;Q80X78;Q8CHP0"
"Pms1","Pms1","Pms1","PMS1","PMS1 homolog 1, mismatch repair system component","1","org.Mm.eg.db","Pms1","Q8K119"
"Spnb2","Spnb2","Sptbn1","SPTBN1","spectrin beta, non-erythrocytic 1","11","org.Mm.eg.db","Spnb2","A0A0A0MQG2;A2AFU1;Q3TEM7;Q5SQL8;Q5SQL9;Q62261;Q9QWJ7"
"Ddx41","Ddx41","Ddx41","DDX41","DEAD box helicase 41","13","org.Mm.eg.db","Ddx41","Q3TI21;Q3U0E0;Q91VN6"
"Gpi1","Gpi1","Gpi1;Pigq","GPI","glucose-6-phosphate isomerase 1; phosphatidylinositol glycan anchor biosynthesis, class Q","7;17","org.Mm.eg.db","Gpi1","O89062;P06745;Q3TEE7;Q3TW50;Q3UUX1;Q3UY84;Q3UZJ1;Q5RJI3;Q8C675;Q9JM07;Q3TD14;A0A140LHE9;O35120;O35456;Q3TF56;Q99L11;Q9QYT7"
"Fabp3","Fabp3","Fabp3","FABP3","fatty acid binding protein 3, muscle and heart","4","org.Mm.eg.db","Fabp3","P11404;Q5EBJ0;Q91W23"
"Il10rb","Il10rb","Il10rb","IL10RB","interleukin 10 receptor, beta","16","org.Mm.eg.db","Il10rb","Q3TU35;Q61190;Q8VHM7"
"D10Ucla2","D10Ucla2","Apon","","apolipoprotein N","10","org.Mm.eg.db","D10Ucla2","G3X9D6;Q8BUM4"
"4933432P15Rik","4933432P15Rik","Arhgap26","ARHGAP26","Rho GTPase activating protein 26","18","org.Mm.eg.db","4933432P15Rik","B9EJ96;F6T836;E9QAQ3;E9QLL3;Q6ZQ82"
"Birc6","Birc6","Birc6","BIRC6","baculoviral IAP repeat-containing 6","17","org.Mm.eg.db","Birc6","A0A1S6GWH3;E9PYU6;O88738;Q69ZM5;Q8BNX0;Q8BR72;Q8BRV7;Q8C737;S4R2P8;A0A1S6GWH6"
"4833415N24Rik","4833415N24Rik","Fundc2","FUNDC2","FUN14 domain containing 2","X","org.Mm.eg.db","4833415N24Rik","Q80VT2;Q80YD9;Q8BSM8;Q9D617;Q9D6K8"
"Lmo2","Lmo2","Lmo2","LMO2","LIM domain only 2","2","org.Mm.eg.db","Lmo2","A2BHP5;A2BHP2;P25801;Q544Z2;A2BHP3"
"Bing4","Bing4","Wdr46","WDR46","WD repeat domain 46","17","org.Mm.eg.db","Bing4","A0A068BFS0;Q9Z0H1"
"Mbl1","Mbl1","Mbl1","","mannose-binding lectin (protein A) 1","14","org.Mm.eg.db","Mbl1","P39039;Q0P6H1"
"Trib1","Trib1","Trib1","TRIB1","tribbles pseudokinase 1","15","org.Mm.eg.db","Trib1","Q8BFS7;Q8BJR9;Q8BZX3;Q8K4K4;Q91W04"
"0910001A06Rik","0910001A06Rik","Cyrib","CYRIB","CYFIP related Rac1 interactor B","15","org.Mm.eg.db","0910001A06Rik","Q921M7"
"Dck","Dck","Dck","DCK","deoxycytidine kinase","5","org.Mm.eg.db","Dck","P43346;Q545E8;Q80US6"
"BC035291","BC035291","Setd1b","SETD1B","SET domain containing 1B",NA,"org.Mm.eg.db","BC035291","Q80TK9;Q8CFQ8;Q8CFT2;Q8CGD1"
"Ctsd","Ctsd","Ctsd","CTSD","cathepsin D","7","org.Mm.eg.db","Ctsd","P18242;Q3TJN3;Q3TWD0;Q3TWR6;Q3TXL5;Q3U7P0;Q3UAQ1;Q3UCD9;Q3UCW4"
"Ppp1r2","Ppp1r2","Ppp1r17;Ppp1r2","PPP1R17","protein phosphatase 1, regulatory subunit 17; protein phosphatase 1, regulatory inhibitor subunit 2","6;16","org.Mm.eg.db","Ppp1r2","Q9Z2E4;Q3UD25;Q8BVM6;Q8C1A6;Q9DCL8"
"Flnb","Flnb","Flnb","FLNB","filamin, beta","14","org.Mm.eg.db","Flnb","E9QNV9;Q80X90;Q8VHX4;Q8VHX7;Q99KY3"
"C330008I15Rik","C330008I15Rik","Elmod3","ELMOD3","ELMO/CED-12 domain containing 3","6","org.Mm.eg.db","C330008I15Rik","Q3TNV2;Q91YP6"
"Pvrl2","Pvrl2","Nectin2","NECTIN2","nectin cell adhesion molecule 2","7","org.Mm.eg.db","Pvrl2","Q3TZU9;Q91VT9;P32507;Q62096;Q80XJ5"
"Olfr893","Olfr893","Or8c15","","olfactory receptor family 8 subfamily C member 15","9","org.Mm.eg.db","Olfr893","A0A1D5RMC3;K7N678"
"2610304F09Rik","2610304F09Rik","Sap130","SAP130","Sin3A associated protein","18","org.Mm.eg.db","2610304F09Rik","Q6NZP5;Q6P553;Q8BID9;Q8BIH0;Q9CSU1;A0A0R4J060"
"2610204M08Rik","2610204M08Rik","Inf2","INF2","inverted formin, FH2 and WH2 domain containing","12","org.Mm.eg.db","2610204M08Rik","Q0GNC1;Q14C56;Q499F7;Q6P9T3;E9QLA5"
"Eno3","Eno3","Eno3","ENO3","enolase 3, beta muscle","11","org.Mm.eg.db","Eno3","P21550;Q4FK59"
"1810033A06Rik","1810033A06Rik","Dtwd1","DTWD1","DTW domain containing 1","2","org.Mm.eg.db","1810033A06Rik","Q9D8U7"
"Dok4","Dok4","Dok4","DOK4","docking protein 4","8","org.Mm.eg.db","Dok4","Q3U0X3;Q99KE3"
"Gpc6","Gpc6","Gpc6","GPC6","glypican 6","14","org.Mm.eg.db","Gpc6","Q3TP69;Q8R3X6;Q3V1C9;Q9R087;Q8BSI4"
"Hoxc12","Hoxc12","Hoxc12","HOXC12","homeobox C12","15","org.Mm.eg.db","Hoxc12","Q8K5B8"
"Pace4","Pace4","Pcsk6","PCSK6","proprotein convertase subtilisin/kexin type 6","7","org.Mm.eg.db","Pace4","E9Q4D0;Q62030;F6XJP7"
"2610311I19Rik","2610311I19Rik","Yipf5","YIPF5","Yip1 domain family, member 5","18","org.Mm.eg.db","2610311I19Rik","Q9EQQ2"
"4933434E20Rik","4933434E20Rik","4933434E20Rik","C1orf43","RIKEN cDNA 4933434E20 gene","3","org.Mm.eg.db","4933434E20Rik","Q05D39;Q3UBD8;Q3UCR6;Q8BII4;Q8BIP7;Q8R092;Q8R240;Q9CV59;Q9CYB6"
"Pou4f1","Pou4f1","Pou4f1","POU4F1","POU domain, class 4, transcription factor 1","14","org.Mm.eg.db","Pou4f1","E9QPT6;P17208;Q78NA5"
"Lcat","Lcat","Lcat","LCAT","lecithin cholesterol acyltransferase","8","org.Mm.eg.db","Lcat","P16301;Q791M3;Q8K139"
"4921505C17Rik","4921505C17Rik","Rictor","RICTOR","RPTOR independent companion of MTOR, complex 2","15","org.Mm.eg.db","4921505C17Rik","E9QPE0;Q0VAV4;Q69Z40;Q6PDL2;Q6QI06;Q6RI74;Q8BPH9;Q8CBF2"
"Rbm9","Rbm9","Rbfox2","RBFOX2","RNA binding protein, fox-1 homolog (C. elegans) 2","15","org.Mm.eg.db","Rbm9","Q8BP71;A0A2K6EDK7;Q0R5Z7;Q0R5Z8;Q0VH84;Q537D4;Q537D5;Q8BRG0;Q8R2T5;Q8VI62;Q923W8;A0A2I3BRU6"
"Ciz1","Ciz1","Ciz1","CIZ1","CDKN1A interacting zinc finger protein 1","2","org.Mm.eg.db","Ciz1","Q3TMV1;Q3TXU6;Q3UUV0;Q8VEH2;A2AN61;Q70KX6"
"ORF9","ORF9","Fam3b","FAM3B","FAM3 metabolism regulating signaling molecule B","16","org.Mm.eg.db","ORF9","A0A338P693;O88417;Q9D309"
"1110030L07Rik","1110030L07Rik","Samm50","SAMM50","SAMM50 sorting and assembly machinery component","15","org.Mm.eg.db","1110030L07Rik","Q3TIL3;Q3TTG7;Q3TWD3;Q8BGH2"
"AA545217","AA545217","","",NA,NA,"org.Mm.eg.db","AA545217",NA
"D10Wsu93e","D10Wsu93e","Mbd6","MBD6","methyl-CpG binding domain protein 6","10","org.Mm.eg.db","D10Wsu93e","E9PWH8;Q3TY92;Q4VBD6;E9Q572"
"Helz","Helz","Helz","HELZ","helicase with zinc finger domain","11","org.Mm.eg.db","Helz","A1L4L4;A2AAU4;Q6DFV5;Q8BZZ6;Q8CHI3;Q8VDI3;A0A0R4J0Y3"
"2610018I03Rik","2610018I03Rik","Ube3d","UBE3D","ubiquitin protein ligase E3D","9","org.Mm.eg.db","2610018I03Rik","Q9D0H0;Q8BX13"
"1500002I11Rik","1500002I11Rik","C1galt1c1","C1GALT1C1","C1GALT1-specific chaperone 1","X","org.Mm.eg.db","1500002I11Rik","Q9JMG2"
"Nut","Nut","Nutm1","NUTM1","NUT midline carcinoma, family member 1","2","org.Mm.eg.db","Nut","Q8BHP2"
"Usmg4","Usmg4","Pde4dip","PDE4DIP","phosphodiesterase 4D interacting protein (myomegalin)","3","org.Mm.eg.db","Usmg4","B2RUJ9;G3X9L9;B7ZNY0;E9Q1A0;Q80YT7"
"Jam3","Jam3","Jam3","JAM3","junction adhesion molecule 3","9","org.Mm.eg.db","Jam3","Q8BT59;Q9D1M9;Q9D8B7;Q9EPK4"
"Akap13","Akap13","Akap13","AKAP13","A kinase anchor protein 13","7","org.Mm.eg.db","Akap13","E9Q394;Q3UEI5;A0A140LJJ5"
"4930544G21Rik","4930544G21Rik","Sphkap","SPHKAP","SPHK1 interactor, AKAP domain containing","1","org.Mm.eg.db","4930544G21Rik","Q6NSW3;Q6PAM6;Q6PAP7;Q80TA7;Q80XT3;Q8BYQ9;Q8BZL6;Q8C1G7;E9PUC4"
