"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"PHF6","PHF6","PHD finger protein 6","protein_coding","X","134373311","3354","Xq26.2"
"PHF8","PHF8","PHD finger protein 8","protein_coding","X","53936679","4530","Xp11.22"
"PHGDH","PHGDH","phosphoglycerate dehydrogenase","protein_coding","1","119711933","2183","1p12"
"PHIP","PHIP","pleckstrin homology domain interacting protein","protein_coding","6","78934418","10427","6q14.1"
"PHKA1","PHKA1","phosphorylase kinase regulatory subunit alpha 1","protein_coding","X","72578813","5739","Xq13.1"
"PHKA2","PHKA2","phosphorylase kinase regulatory subunit alpha 2","protein_coding","X","18892297","1388","Xp22.13"
"PHKB","PHKB","phosphorylase kinase regulatory subunit beta","protein_coding","16","47461330","3931","16q12.1"
"PHKG2","PHKG2","phosphorylase kinase catalytic subunit gamma 2","protein_coding","16","30748298","2925","16p11.2"
"PHLDB2","PHLDB2","pleckstrin homology like domain family B member 2","protein_coding","3","111859179","4957","3q13.2"
"PHLDB3","PHLDB3","pleckstrin homology like domain family B member 3","protein_coding","19","43475102","2012","19q13.31"
"PHLPP1","PHLPP1","PH domain and leucine rich repeat protein phosphatase 1","protein_coding","18","62715540","6411","18q21.33"
"PHPT1","PHPT1","phosphohistidine phosphatase 1","protein_coding","9","136849408","1224","9q34.3"
"PHRF1","PHRF1","PHD and ring finger domains 1","protein_coding","11","576469","4997","11p15.5"
"PHYH","PHYH","phytanoyl-CoA 2-hydroxylase","protein_coding","10","13277795","1662","10p13"
"PHYKPL","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase","protein_coding","5","178208473","2129","5q35.3"
"PI4K2A","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha","protein_coding","10","97640685","3993","10q24.2"
"PI4K2B","PI4K2B","phosphatidylinositol 4-kinase type 2 beta","protein_coding","4","25234032","3442","4p15.2"
"PI4KA","PI4KA","phosphatidylinositol 4-kinase alpha","protein_coding","22","20707690","4029","22q11.21"
"PI4KB","PI4KB","phosphatidylinositol 4-kinase beta","protein_coding","1","151291803","3880","1q21.3"
"PIAS1","PIAS1","protein inhibitor of activated STAT 1","protein_coding","15","68054575","1676","15q23"
"PIAS2","PIAS2","protein inhibitor of activated STAT 2","protein_coding","18","46803217","3454","18q21.1"
"PIAS4","PIAS4","protein inhibitor of activated STAT 4","protein_coding","19","4007735","1737","19p13.3"
"PIBF1","PIBF1","progesterone immunomodulatory binding factor 1","protein_coding","13","72782132","2525","13q21.33-q22.1"
"PICALM","PICALM","phosphatidylinositol binding clathrin assembly protein","protein_coding","11","85957175","3172","11q14.2"
"PIGK","PIGK","phosphatidylinositol glycan anchor biosynthesis class K","protein_coding","1","77088989","3827","1p31.1"
"PIGM","PIGM","phosphatidylinositol glycan anchor biosynthesis class M","protein_coding","1","160024952","4322","1q23.2"
"PIGN","PIGN","phosphatidylinositol glycan anchor biosynthesis class N","protein_coding","18","62041163","4710","18q21.33"
"PIGO","PIGO","phosphatidylinositol glycan anchor biosynthesis class O","protein_coding","9","35088687","4316","9p13.3"
"PIGS","PIGS","phosphatidylinositol glycan anchor biosynthesis class S","protein_coding","17","28553386","2701","17q11.2"
"PIGT","PIGT","phosphatidylinositol glycan anchor biosynthesis class T","protein_coding","20","45416140","1782","20q13.12"
"PIH1D1","PIH1D1","PIH1 domain containing 1","protein_coding","19","49446297","1074","19q13.33"
"PIK3C2A","PIK3C2A","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha","protein_coding","11","17086575","3934","11p15.1"
"PIK3C2B","PIK3C2B","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta","protein_coding","1","204422637","5174","1q32.1"
"PIK3C3","PIK3C3","phosphatidylinositol 3-kinase catalytic subunit type 3","protein_coding","18","41955233","2657","18q12.3"
"PIK3CA","PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","protein_coding","3","179148356","3709","3q26.32"
"PIK3CB","PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","protein_coding","3","138652697","5062","3q22.3"
"PIK3CD","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","protein_coding","1","9691466","4477","1p36.22"
"PIK3CG","PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","protein_coding","7","106865478","5248","7q22.3"
"PIK3IP1","PIK3IP1","phosphoinositide-3-kinase interacting protein 1","protein_coding","22","31281592","2185","22q12.2"
"PIK3R1","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","protein_coding","5","68292576","5400","5q13.1"
"PIK3R2","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2","protein_coding","19","18153162","4368","19p13.11"
"PIK3R4","PIK3R4","phosphoinositide-3-kinase regulatory subunit 4","protein_coding","3","130678933","5039","3q22.1"
"PIKFYVE","PIKFYVE","phosphoinositide kinase, FYVE-type zinc finger containing","protein_coding","2","208266266","4049","2q34"
"PIN1","PIN1","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","protein_coding","19","9835317","1102","19p13.2"
"PIN4","PIN4","peptidylprolyl cis/trans isomerase, NIMA-interacting 4","protein_coding","X","72181675","1393","Xq13.1"
"PINX1","PINX1","PIN2 (TERF1) interacting telomerase inhibitor 1","protein_coding","8","10764960","1008","8p23.1"
"PIP4K2A","PIP4K2A","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha","protein_coding","10","22534836","3560","10p12.2"
"PIP4K2B","PIP4K2B","phosphatidylinositol-5-phosphate 4-kinase type 2 beta","protein_coding","17_KI270857v1_alt","2801009","3576","17q12"
"PIP4K2C","PIP4K2C","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma","protein_coding","12","57591191","3097","12q13.3"
"PIP5K1A","PIP5K1A","phosphatidylinositol-4-phosphate 5-kinase type 1 alpha","protein_coding","1","151198551","3237","1q21.3"
"PIP5K1C","PIP5K1C","phosphatidylinositol-4-phosphate 5-kinase type 1 gamma","protein_coding","19","3630182","4367","19p13.3"
"PIR","PIR","pirin","protein_coding","X","15384800","1543","Xp22.2"
"PITHD1","PITHD1","PITH domain containing 1","protein_coding","1","23778417","1600","1p36.11"
"PITPNA","PITPNA","phosphatidylinositol transfer protein alpha","protein_coding","17","1517717","2149","17p13.3"
"PITPNB","PITPNB","phosphatidylinositol transfer protein beta","protein_coding","22","27851668","2704","22q12.1"
"PITPNC1","PITPNC1","phosphatidylinositol transfer protein cytoplasmic 1","protein_coding","17","67377280","6308","17q24.2"
"PITPNM1","PITPNM1","phosphatidylinositol transfer protein membrane associated 1","protein_coding","11","67491767","4088","11q13.2"
"PITPNM2","PITPNM2","phosphatidylinositol transfer protein membrane associated 2","protein_coding","12","122983479","5078","12q24.31"
"PITRM1","PITRM1","pitrilysin metallopeptidase 1","protein_coding","10","3137727","3582","10p15.2"
"PJA1","PJA1","praja ring finger ubiquitin ligase 1","protein_coding","X","69160860","2553","Xq13.1"
"PJA2","PJA2","praja ring finger ubiquitin ligase 2","protein_coding","5","109334721","4869","5q21.3"
"PKIA","PKIA","cAMP-dependent protein kinase inhibitor alpha","protein_coding","8","78516339","4010","8q21.13"
"PKM","PKM","pyruvate kinase M1/2","protein_coding","15","72199028","2321","15q23"
"PKMYT1","PKMYT1","protein kinase, membrane associated tyrosine/threonine 1","protein_coding","16","2972807","2053","16p13.3"
"PKN1","PKN1","protein kinase N1","protein_coding","19","14440276","3014","19p13.12"
"PKN2","PKN2","protein kinase N2","protein_coding","1","88684272","5765","1p22.2"
"PKNOX1","PKNOX1","PBX/knotted 1 homeobox 1","protein_coding","21","42974509","3218","21q22.3"
"PKP1","PKP1","plakophilin 1","protein_coding","1","201283505","5326","1q32.1"
"PLA2G15","PLA2G15","phospholipase A2 group XV","protein_coding","16","68245372","2602","16q22.1"
"PLA2G6","PLA2G6","phospholipase A2 group VI","protein_coding","22","38111494","2588","22q13.1"
"PLAA","PLAA","phospholipase A2 activating protein","protein_coding","9","26903371","3616","9p21.2"
"PLAGL2","PLAGL2","PLAG1 like zinc finger 2","protein_coding","20","32192503","5656","20q11.21"
"PLAUR","PLAUR","plasminogen activator, urokinase receptor","protein_coding","19","43646094","1468","19q13.31"
"PLBD2","PLBD2","phospholipase B domain containing 2","protein_coding","12","113358586","2784","12q24.13"
"PLCB2","PLCB2","phospholipase C beta 2","protein_coding","15","40300666","3490","15q15.1"
"PLCB3","PLCB3","phospholipase C beta 3","protein_coding","11","64251529","5248","11q13.1"
"PLCG1","PLCG1","phospholipase C gamma 1","protein_coding","20","41137542","3942","20q12"
"PLCG2","PLCG2","phospholipase C gamma 2","protein_coding","16","81779290","3582","16q23.3"
"PLCH2","PLCH2","phospholipase C eta 2","protein_coding","1","2476314","4231","1p36.32"
"PLCL1","PLCL1","phospholipase C like 1 (inactive)","protein_coding","2","197804592","6636","2q33.1"
"PLCL2","PLCL2","phospholipase C like 2","protein_coding","3","16933089","3045","3p24.3"
"PLD3","PLD3","phospholipase D family member 3","protein_coding","19","40359641","1773","19q13.2"
"PLD4","PLD4","phospholipase D family member 4","protein_coding","14","104924878","1953","14q32.33"
"PLD6","PLD6","phospholipase D family member 6","protein_coding","17","17200994","2964","17p11.2"
"PLEC","PLEC","plectin","protein_coding","8","143915152","14792","8q24.3"
"PLEKHA1","PLEKHA1","pleckstrin homology domain containing A1","protein_coding","10","122386068","3863","10q26.13"
"PLEKHA2","PLEKHA2","pleckstrin homology domain containing A2","protein_coding","8","38901345","5558","8p11.22"
"PLEKHA7","PLEKHA7","pleckstrin homology domain containing A7","protein_coding","11","16787481","3651","11p15.2-p15.1"
"PLEKHF1","PLEKHF1","pleckstrin homology and FYVE domain containing 1","protein_coding","19","29665460","1864","19q12"
"PLEKHF2","PLEKHF2","pleckstrin homology and FYVE domain containing 2","protein_coding","8","95133784","2965","8q22.1"
"PLEKHG3","PLEKHG3","pleckstrin homology and RhoGEF domain containing G3","protein_coding","14","64704423","4211","14q23.3"
"PLEKHM2","PLEKHM2","pleckstrin homology and RUN domain containing M2","protein_coding","1","15684319","4122","1p36.21"
"PLEKHO1","PLEKHO1","pleckstrin homology domain containing O1","protein_coding","1","150149433","1788","1q21.2"
"PLEKHO2","PLEKHO2","pleckstrin homology domain containing O2","protein_coding","15","64841882","3646","15q22.31"
"PLG","PLG","plasminogen","protein_coding","6","160702192","2368","6q26"
"PLGRKT","PLGRKT","plasminogen receptor with a C-terminal lysine","protein_coding","9","5357970","1284","9p24.1"
"PLIN2","PLIN2","perilipin 2","protein_coding","9","19115760","1655","9p22.1"
"PLIN3","PLIN3","perilipin 3","protein_coding","19","4838340","2327","19p13.3"
"PLK1","PLK1","polo like kinase 1","protein_coding","16","23678888","2169","16p12.2"
"PLOD1","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","protein_coding","1","11934716","3102","1p36.22"
"PLOD3","PLOD3","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","protein_coding","7","101205983","2977","7q22.1"
"PLP2","PLP2","proteolipid protein 2","protein_coding","X","49171897","1048","Xp11.23"
"PLRG1","PLRG1","pleiotropic regulator 1","protein_coding","4","154534996","2554","4q31.3"
"PLS1","PLS1","plastin 1","protein_coding","3","142623423","3764","3q23"
"PLS3","PLS3","plastin 3","protein_coding","X","115593550","2681","Xq23"
"PLSCR1","PLSCR1","phospholipid scramblase 1","protein_coding","3","146515179","1819","3q24"
"PLTP","PLTP","phospholipid transfer protein","protein_coding","20","45898619","2006","20q13.12"
"PLXNA1","PLXNA1","plexin A1","protein_coding","3","126988593","7662","3q21.3"
"PM20D2","PM20D2","peptidase M20 domain containing 2","protein_coding","6","89146054","4712","6q15"
"PMAIP1","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1","protein_coding","18","59899995","2012","18q21.32"
"PMF1","PMF1","polyamine modulated factor 1","protein_coding","1","156212987","1084","1q22"
"PML","PML","PML nuclear body scaffold","protein_coding","15","73994715","3255","15q24.1"
"PMM1","PMM1","phosphomannomutase 1","protein_coding","22","41576900","1283","22q13.2"
"PMM2","PMM2","phosphomannomutase 2","protein_coding","16","8797838","2027","16p13.2"
"PMPCA","PMPCA","peptidase, mitochondrial processing subunit alpha","protein_coding","9","136410572","1956","9q34.3"
"PMPCB","PMPCB","peptidase, mitochondrial processing subunit beta","protein_coding","7","103297434","2015","7q22.1"
"PMS1","PMS1","PMS1 homolog 1, mismatch repair system component","protein_coding","2","189784084","2467","2q32.2"
"PMS2","PMS2","PMS1 homolog 2, mismatch repair system component","protein_coding","7","5970925","2439","7p22.1"
"PMVK","PMVK","phosphomevalonate kinase","protein_coding","1","154924739","1299","1q21.3"
"PNISR","PNISR","PNN interacting serine and arginine rich protein","protein_coding","6","99409345","2544","6q16.2"
"PNKP","PNKP","polynucleotide kinase 3'-phosphatase","protein_coding","19","49861203","1761","19q13.33"
"PNN","PNN","pinin, desmosome associated protein","protein_coding","14","39175253","3606","14q21.1"
"PNO1","PNO1","partner of NOB1 homolog","protein_coding","2","68157829","1981","2p14"
"PNP","PNP","purine nucleoside phosphorylase","protein_coding","14","20469405","1623","14q11.2"
"PNPLA2","PNPLA2","patatin like phospholipase domain containing 2","protein_coding","11","818913","2048","11p15.5"
"PNPLA4","PNPLA4","patatin like phospholipase domain containing 4","protein_coding","X","7898762","2719","Xp22.31"
"PNPLA6","PNPLA6","patatin like phospholipase domain containing 6","protein_coding","19","7535716","4480","19p13.2"
"PNPLA8","PNPLA8","patatin like phospholipase domain containing 8","protein_coding","7","108470416","4578","7q31.1"
"PNPO","PNPO","pyridoxamine 5'-phosphate oxidase","protein_coding","17","47941570","3388","17q21.32"
"PNPT1","PNPT1","polyribonucleotide nucleotidyltransferase 1","protein_coding","2","55634060","4613","2p16.1"
"POC1A","POC1A","POC1 centriolar protein A","protein_coding","3","52075225","2172","3p21.2"
"POC1B","POC1B","POC1 centriolar protein B","protein_coding","12","89419720","2983","12q21.33"
"POC5","POC5","POC5 centriolar protein","protein_coding","5","75674198","1957","5q13.3"
"POFUT1","POFUT1","protein O-fucosyltransferase 1","protein_coding","20","32207879","4156","20q11.21"
"POGK","POGK","pogo transposable element derived with KRAB domain","protein_coding","1","166839474","3201","1q24.1"
"POGLUT1","POGLUT1","protein O-glucosyltransferase 1","protein_coding","3","119468962","2881","3q13.33"
"POLA1","POLA1","DNA polymerase alpha 1, catalytic subunit","protein_coding","X","24693917","3920","Xp22.11-p21.3"
"POLA2","POLA2","DNA polymerase alpha 2, accessory subunit","protein_coding","11","65261961","1986","11q13.1"
"POLB","POLB","DNA polymerase beta","protein_coding","8","42338493","1082","8p11.21"
"POLD1","POLD1","DNA polymerase delta 1, catalytic subunit","protein_coding","19","50384322","3442","19q13.33"
"POLD2","POLD2","DNA polymerase delta 2, accessory subunit","protein_coding","7","44114679","1867","7p13"
"POLD3","POLD3","DNA polymerase delta 3, accessory subunit","protein_coding","11","74592581","3871","11q13.4"
"POLDIP2","POLDIP2","DNA polymerase delta interacting protein 2","protein_coding","17","28346627","2690","17q11.2"
"POLDIP3","POLDIP3","DNA polymerase delta interacting protein 3","protein_coding","22","42583720","3354","22q13.2"
"POLE","POLE","DNA polymerase epsilon, catalytic subunit","protein_coding","12","132623761","5871","12q24.33"
"POLE2","POLE2","DNA polymerase epsilon 2, accessory subunit","protein_coding","14","49643551","1612","14q21.3"
"POLE3","POLE3","DNA polymerase epsilon 3, accessory subunit","protein_coding","9","113407238","2300","9q32"
"POLE4","POLE4","DNA polymerase epsilon 4, accessory subunit","protein_coding","2","74958642","696","2p12"
"POLG","POLG","DNA polymerase gamma, catalytic subunit","protein_coding","15","89316325","4442","15q26.1"
"POLG2","POLG2","DNA polymerase gamma 2, accessory subunit","protein_coding","17","64477784","1252","17q23.3"
"POLL","POLL","DNA polymerase lambda","protein_coding","10","101578881","2183","10q24.32"
"POLM","POLM","DNA polymerase mu","protein_coding","7","44072061","2018","7p13"
"POLQ","POLQ","DNA polymerase theta","protein_coding","3","121431430","7680","3q13.33"
"POLR1A","POLR1A","RNA polymerase I subunit A","protein_coding","2","86020215","4183","2p11.2"
"POLR1B","POLR1B","RNA polymerase I subunit B","protein_coding","2","112542035","4903","2q14.1"
"POLR1C","POLR1C","RNA polymerase I and III subunit C","protein_coding","6","43517023","1220","6p21.1"
"POLR1D","POLR1D","RNA polymerase I and III subunit D","protein_coding","13","27620742","1826","13q12.2"
"POLR1E","POLR1E","RNA polymerase I subunit E","protein_coding","9","37485934","1675","9p13.2"
"POLR2A","POLR2A","RNA polymerase II subunit A","protein_coding","17_KV575245v1_fix","104822","4531","17p13.1"
